CELESTE HOLM

CHARLOTTE RAMPLING

CHICAGE AWASHIMA


CHRISTIANE MINAZZOLI

CHRISTINE KAUFMANN
CHRISTINE LAHTI
CICELY TYSON

CLAUDETTE COLBERT

CLAUDIA  CARDINALE

CLAUDE JADE
CLAUDE WINTER


CLAUDINE AUGER

COLEEN GRAY

COLETTE BROSSET

COLETTE RENARD

CORINNE LE POULAIN

COURTENEY COX

CYD CHARISSE

DANA WYNTER

DAHLIA LAVI


DANIELLE DARRIEUX
DANIELLE VOLLE

DANIELE DELORME

DANY CARREL


DANY ROBIN




DAWN ADDAMS
DEANNA DURBIN


DEBBIE REYNOLDS

DEBBIE HARRY ou DEBORAH HARRY

DEBORAH KERR

DEBORAH RAFFIN

DELPHINE SEYRIG

DENISE DARCEL

DENISE GENCE
DENISE GREY


DENISE RICHARDS

DIANA DORS
DIANE CELENTO
DIANE KEATON


DIANA RIGG
DOMINIQUE LAFFIN
DOMINIQUE SANDA

DONNA REED

DORA DOLL


DORIS DAY

DORIS ROBERTS
DORIS SINGLETON

DOROTHY MALONE


DOROTHY MCGUIRE

DOROTHY PROVINE
DULCIE GRAY
DYAN CANNON

EDITH PIAF
EDITH SCOB

EDWIGE FEUILLERE


EILEEN BRENNAN

ELAINE STEWART

ELEANOR PARKER

ELEANORA ROSSI DRAGO

ELGA ANDERSEN

ELISABETH BOURGINE

ELISABETH MONTGOMERY

ELISABETH PENA

ELISABETH TAYLOR

ELISABETH WILSON
ELLEN SCHWIERS

ELSA MARTINELLI

ELYSE KNOX


ELKE SOMMER
EMILY BROWNING


EMMANUELLE RIVA

EMMA CHAMBERS

EMMA THOMPSON

ERIKA BLANC

ESTHER WILLIAMS

EVA DARLAN

EVELYNE BUYLE


EVIN CROWLEY

FAITH DOMERGUE


FAMKE JANSSEN

FANNY ARDAN

FANNY COTTENCON

FARRAH FAWCETT

FAYE DUNAWAY
FAY WRAY
FLORENCE GIORGETTI
FRANCOISE ARNOUL


FRANCOISE BERTIN
FRANCOISE BRION

FRANCOISE CHRISTOPHE
FRANCOISE FABIAN
GEENA DAVIS

GENA ROWLANDS


GENE TIERNEY


GENEVIEVE PAGE


GERALDINE MCEWAN

GERALDINE PAILHAS

GINA GERSHON


GINA LOLLOBRIGIDA

GINETTE GARCIN

GINETTE LECLERC
GINGERS ROGERS

GISELE CASADESUS

GLENDA JACKSON

GLENN CLOSE

GLENNE HEADLY

GLORIA GRAHAME

GLORIA STUART



GOOGIE WITHERS



GRACE BRADLEY


GRACE KELLY

GRACE LEE WHITNEY

GRACE ZABRISKY

GRETA GARBO
GIULIETTA MASINA


HALLE BERRY

HANNELORE ELSNER

HEATHER LOCKLEAR


HEDY LAMARR

HELENE STANTON

HELEN MCCRORY

HILDEGARDE NEFF


HOPE EMERSON

IDA LUPINO

INGRID BERGMAN

INGRID THULIN

IRM HERMANN

ISABELLA ROSSELLINI

ISABELLE ADJANI

ISABELLE CARRE

ISABELLE HUPPERT

ISABELLE NANTY

ISABELLE SADOYAN


JACQUELINE BISSET

JACQUELINE MAILLAN
JAIMIE ALEXANDER
l

JANE BIRKIN

JANE FONDA

JANE GREER



JANE RUSSELL


JANE SEYMOUR

JANET BROWN


JANET CARROLL

JANET LEIGH

JAN STERLING

JANE WYMAN

JAYNE MEADOWS

JEAN ARTHUR


JEAN KENT

JEANNE COOPER
JEANNE CRAIN
JEANNE MOREAU

JEAN SEBERG

JENNIFER ANISTON

JENNIFER GARNER
JENNIFER JONES

JESSICA CHASTAING

JESSICA LANGE

JESSICA WALTER
JOAN ALLEN
JOAN BENNETT
JOAN COLLINS
JOAN CRAWFORD

JOAN FONTAINE

JOAN LESLIE

JOANNA LUMLEY

JOANNE DRU

JODIE FOSTER

JOHN INGLE


JUANITA MOORE

JUDITH MAGRE

JUDITH MALINA

JUDY DENCH

JUDY GARLAND


JULIANNE MOORE

JULIA ROBERTS

JULIE ADAMS

JULIE ANDREWS



JULIE CHRISTIE

JULIETTE BINOCHE


JULIETTE GRECO

JULIETTE LEWIS

JUNE ALLYSON

JUNE LOCKHART


KAREN BLACK

KARIN DOR


KATHARINE HEPBURN

KATHLEEN BYRON
KATHLEEN TURNER
KATHRYN GREASON


KATHRYN JOOSTEN
KATY JURADO
KEELEY HAWES
KELLY PRESTON
KIM CATTRALL


KIM NOVAK



KRYSTYNA JANDA


KRISTIN SCOTT THOMAS

KYRSTEN DUST

LANA TURNER

LARAINE DAY

LAURA ANTONELLI

LAURA BETTI
LAUREN BACALL


LEA SEYDOUX

LEE REMICK

LENA HORNE

LESLEY ANN DOWN

LESLIE CARON

LILIAN HARVEY


LILLI PALMER

LINDA BELLINGHAM

LINDA CHRISTIAN


LINDA CRISTAL

LINDA DARNELL
LINDA DAY GEORGES

LINDA THORSON

LINDSAY WAGNER

LINE RENAUD


LISELOTTE PULVER

LIZABETH SCOTT

LIZA MINNELLI

LORELLA DEL LUCA

LORETTA YOUNG

LUCIA BOSE

LUCY GORDON

LUCY LIU

LUDMILA TCHERINA


LUPE ONTIVEROS




LYNN REDGRAVE

MACHA MERIL

MADELEINE LEBEAU

MADELEINE ROBINSON


